ticker,name,sector,industry,mcap,exch
3IN.L,3i Infrastructure Ord,Financial Services,Asset Management,4857350443.0,LSE
A,Agilent Technologies Inc.,Health Care,Life Sciences Tools & Services,37927784448.0,NYQ
A2A.MI,A2A S.p.A.,Utilities,Utilities - Diversified,8286393999.0,MIL
AA,Alcoa Corporation,Materials,Aluminum,12846262272.0,NYQ
AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,16642967712.0,LSE
AAL,American Airlines Group Inc.,Industrials,Passenger Airlines,11210478592.0,NMS
AAL.L,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,50294091545.0,LSE
AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management,2909463296.0,NYQ
AAON,AAON Inc.,Industrials,Building Products,9351041024.0,NMS
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Automotive Retail,3496077568.0,NYQ
AAPL,Apple Inc.,Technology,Consumer Electronics,4631217307648.0,NMS
AAS.L,Aberdeen Asia Focus PLC,,,813342958.0,LSE
AAT,American Assets Trust Inc.,Real Estate,Diversified REITs,1542140312.0,
ABAT,American Battery Technology Company,Basic Materials,Metal Mining,358769896.0,
ABBV,AbbVie Inc.,Health Care,Biotechnology,438305980416.0,NYQ
ABCB,Ameris Bancorp,Financials,Regional Banks,6083915776.0,NYQ
ABDN.L,Aberdeen Group Plc,Financial Services,Asset Management,6096679568.0,LSE
ABF.L,Associated British Foods plc,Consumer Defensive,Packaged Foods,18908105981.0,LSE
ABG,Asbury Automotive Group Inc,Consumer Discretionary,Automotive Retail,3946627072.0,NYQ
ABM,ABM Industries Incorporated,Industrials,Environmental & Facilities Services,2612709120.0,NYQ
ABNB,Airbnb Inc. Class A,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",88206696448.0,NMS
ABR,Arbor Realty Trust,Financials,Mortgage REITs,971424075.0,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,163608510464.0,NYQ
ABX.TO,Barrick Mining Corporation,Basic Materials,Gold,58324280655.0,TSX
AC.PA,Accor SA,Consumer Cyclical,Lodging,12765587495.0,PAR
ACA,Arcosa Inc.,Industrials,Construction & Engineering,7120486912.0,NYQ
ACA.PA,Crédit Agricole S.A.,Financial Services,Banks - Regional,62032830264.0,PAR
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Pharmaceuticals,4489804288.0,NMS
ACGL,Arch Capital Group Ltd.,Financials,Property & Casualty Insurance,35309314048.0,NMS
ACHC,Acadia Healthcare Company Inc.,Health Care,Health Care Facilities,2876728576.0,NMS
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,627246838.0,
ACI,Albertsons Companies Inc. Class A,Consumer Staples,Food Retail,7229129728.0,NYQ
ACIW,ACI Worldwide Inc.,Information Technology,Application Software,5735745536.0,NMS
ACLS,Axcelis Technologies Inc.,Information Technology,Semiconductor Materials & Equipment,4405704192.0,NMS
ACMR,ACM Research Inc. Class A,Information Technology,Semiconductor Materials & Equipment,7118277120.0,NGM
ACN,Accenture plc Class A Ordinary Shares (Ireland),Information Technology,IT Consulting & Other Services,82752921600.0,NYQ
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",Industrials,Engineering & Construction,36179341303.0,BME
ACT,Enact Holdings Inc.,Financials,Commercial & Residential Mortgage Finance,6247133696.0,NMS
ACTG,Acacia Research Corporation (Acacia Tech),Miscellaneous,Multi-Sector Companies,426923963.0,
ACX.MC,"Acerinox, S.A.",Basic Materials,Steel,4681325714.0,BME
ADAM,Adamas Trust Inc.,Real Estate,Mortgage REITs,825823583.0,
ADBE,Adobe Inc.,Information Technology,Application Software,88896897024.0,NMS
ADC,Agree Realty Corporation,Real Estate,Retail REITs,9389114368.0,NYQ
ADEA,Adeia Inc.,Information Technology,IT Consulting & Other Services,3196312832.0,NMS
ADI,Analog Devices Inc.,Information Technology,Semiconductors,192715980800.0,NMS
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,38754123776.0,NYQ
ADM.L,Admiral Group plc,Financial Services,Insurance - Property & Casualty,14380276142.0,LSE
ADMA,ADMA Biologics Inc,Health Care,Biotechnology,2104496256.0,NGM
ADNT,Adient plc,Consumer Discretionary,Automotive Parts & Equipment,1565131205.0,
ADP,Automatic Data Processing Inc.,Industrials,Human Resource & Employment Services,96703717376.0,NMS
ADS.DE,adidas AG,Consumer Cyclical,Footwear & Accessories,37123556037.0,XETR
ADSK,Autodesk Inc.,Information Technology,Application Software,44013228032.0,NMS
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services,4920089600.0,NYQ
ADUR,Aduro Clean Technologies Inc.,Industrials,Major Chemicals,562609730.0,
ADUS,Addus HomeCare Corporation,Health Care,Health Care Services,2019715456.0,NMS
AEE,Ameren Corporation,Utilities,Multi-Utilities,31256328192.0,NYQ
AEIS,Advanced Energy Industries Inc.,Information Technology,Semiconductor Materials & Equipment,12325281792.0,NMS
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,Gold,68631936032.0,TSX
AENA.MC,"Aena S.M.E., S.A.",Industrials,Airports & Air Services,45034326553.0,BME
AEO,American Eagle Outfitters Inc.,Consumer Discretionary,Apparel Retail,2816907520.0,NYQ
AEP,American Electric Power Company Inc.,Utilities,Electric Utilities,73688137728.0,NMS
AEP.L,AEP Plantations Plc,Consumer Defensive,Farm Products,867355922.0,LSE
AES,The AES Corporation,Utilities,Utilities - Diversified,10540470272.0,NYQ
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,1797391354.0,
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,62050349056.0,NYQ
AGNT,AGNT Inc.,Real Estate,Real Estate Services,742744136.0,
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,3635590144.0,NYQ
AGT.L,AVI Global Trust Ord,,,1342267287.0,LSE
AGX,Argan Inc.,Industrials,Construction & Engineering,8836612096.0,NYQ
AGYS,Agilysys Inc. Common Stock (DE),Information Technology,Application Software,3069599232.0,NMS
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,1390473433.0,
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,10324133888.0,NYQ
